TX_LEG00: -243><-237><0><-150><0><Legs
TX_LEG04: 141><-171><40><-350><0><Legs
TX_LEG05: 12><-489><80><-310><0><Legs
TX_LEG06: -6><-18><120><-350><0><Legs
TX_LEG07: 144><306><160><-470><0><Legs
TX_LEG08: -93><552><200><-356><0><
TX_UH01: -495><636><240><-328><0><Underhang
TX_UH02: -750><738><280><-350><0><Underhang
TX_UH03: -942><642><320><-390><0><Underhang
TX_UH04: -1128><741><360><-430><0><Underhang
TX_UH05: -1458><726><400><-630><0><Underhang
TX_UH07: 321><642><440><-510><0><Underhang
TX_UH08: 576><738><480><-550><0><Underhang
TX_UH09: 768><633><520><-590><0><Underhang
TX_HALL: -981><858><0><-66><0><
TX_LEG10: 1806><337.5><0><-310><0><Legs
TX_LEG09: 1581><598.5><40><-190><0><
TX_W09: 2673><2905.5><80><-390><0><Wall
TX_M10: 3177><958.5><120><-190><0><Cliff
TX_UH12: 1974><631.5><160><-230><0><Underhang
TX_M01: 2139><-394.5><200><-270><0><Cliff
TX_R02: 1488><3184.5><240><-310><0><
TX_W01: 2679><897><280><-356><0><
TX_M07: 2499><484.5><360><-590><0><Cliff
TX_M03: 2475><-193.5><400><-550><0><Cliff
TX_W03: 2679><1444.5><440><-670><0><Wall
TX_M04: 2232><-94.5><480><-550><0><Cliff
TX_M12: 3480><1207.5><520><-590><0><Cliff
TX_M11: 3309><1150.5><600><-750><0><Cliff
TX_M05: 2091><103.5><640><-790><0><Cliff
TX_UH10: 918><742.5><760><-830><0><Underhang
TX_M06: 2331><235.5><840><-910><0><Cliff
TX_M02: 2463><-385.5><920><-990><0><Cliff
TX_M09: 2925><847.5><960><-1110><0><Cliff
TX_UH11: 1176><634.5><1000><-1070><0><Underhang
TX_R01: 1977><3187.5><1040><-1110><0><
TX_W04: 2508><1651.5><1120><-1190><0><Wall
TX_LEG11: 1659><10.5><1160><-1390><0><Legs
TX_W10: 2430><3052.5><1200><-1270><0><
TX_W07: 2670><2479.5><1240><-1470><0><Wall
TX_W05: 2676><1927.5><1280><-1590><0><Wall
TX_W06: 2694><2236.5><1320><-1390><0><Wall
TX_W08: 2496><2644.5><1360><-1430><0><Wall
TX_M08: 2751><667.5><1440><-1510><0><Cliff
TX_W02: 2694><1084.5><1480><-1630><0><Wall
TX_LEG12: 1809><-172.5><1560><-1870><0><Legs
GATE_TX_TS: -675><904.5><0><-70><0><
TX_LEG02: 15><-780><40><-188><0><Legs
TX_D03: 165><-819><80><-380><0><Legs
TX_D02: 0><-1237.5><0><-306><0><Legs
TX_S_LEG: -126><-1408.5><40><-110><0><
OffScreenDen_TX: 96><-15><0><-20><0><
Connection: TX_LEG00,TX_LEG06,97,64,4,19,0,2
Connection: TX_LEG00,TX_LEG05,97,11,4,106,0,2
Connection: TX_LEG04,TX_LEG06,16,131,43,61,2,0
Connection: TX_LEG04,TX_LEG05,16,19,43,106,2,0
Connection: TX_LEG05,TX_D03,43,19,5,144,0,3
Connection: TX_LEG07,TX_LEG08,16,131,12,8,2,3
Connection: TX_LEG08,TX_UH01,5,65,144,16,2,0
Connection: TX_LEG08,TX_UH07,106,61,1,11,0,2
